분류	번호	요구사항명	요구사항 상세	우선순위
회원	F01	회원 가입 기능	사용자가 이메일, 아이디, 비밀번호 등의 정보를 입력하여 회원 가입할 수 있어야 한다.	높음
회원	F02	로그인 기능	등록된 계정 정보를 기반으로 사용자가 로그인할 수 있어야 한다.	높음
회원	F03	로그아웃 기능	로그인된 사용자가 안전하게 로그아웃할 수 있어야 한다.	높음
회원	F04	마이프로필 기능	사용자는 자신의 신체 정보, 운동 목표, 활동량 등을 프로필에 저장 및 수정할 수 있어야 한다.	높음
식단	F05	목표 설정 기능	사용자는 감량, 증량, 유지, 근력 향상 등 자신의 운동 및 식단 목표를 설정할 수 있어야 한다.	높음
식단	F06	권장 칼로리 계산 기능	사용자의 성별, 나이, 키, 몸무게, 활동량을 기반으로 하루 권장 섭취 칼로리와 탄/단/지 비율을 계산해야 한다.	높음
식단	F08	음식 데이터 관리 기능	음식 이름, 칼로리, 탄수화물, 단백질, 지방 등의 영양 정보를 저장 및 조회할 수 있어야 한다.	높음
식단	F09	음식 검색 기능	사용자는 음식 이름을 검색하여 음식별 칼로리와 영양 정보를 조회할 수 있어야 한다.	높음
식단	F10	사용자 음식 추가 기능	사용자가 직접 음식 이름과 영양 정보를 입력하여 음식 데이터를 추가할 수 있어야 한다.	중간
식단	F11	식단 기록 기능	사용자는 아침, 점심, 저녁, 간식으로 섭취한 음식을 날짜별로 기록할 수 있어야 한다.	높음
식단	F12	식단 저장 기능	사용자가 추천받은 식단 또는 직접 구성한 식단을 저장할 수 있어야 한다.	중간
운동	F16	운동 상세 조회 기능	사용자는 추천받은 운동의 운동 부위, 난이도, 예상 소모 칼로리, 수행 방법을 확인할 수 있어야 한다.	중간
운동	F17	운동 루틴 생성 기능	사용자는 추천받은 운동을 조합하여 자신만의 운동 루틴을 생성하고 수정할 수 있어야 한다.	중간
운동	F18	운동 기록 저장 기능	사용자가 수행한 운동 종류, 시간, 세트 수, 반복 횟수 등의 기록을 저장할 수 있어야 한다.	중간
운동	F19	진행 현황 조회 기능	사용자는 체중 변화, 섭취 칼로리, 운동 기록 등을 기간별 그래프 또는 목록으로 확인할 수 있어야 한다.	중간
AI	F07	AI 식단 추천 기능	사용자의 신체 정보와 목표를 기반으로 하루 권장 칼로리 및 탄/단/지 비율에 맞는 식단을 추천해야 한다.	높음
AI	F13	오늘의 식단 평가 기능	사용자의 하루 식단을 분석하여 점수, 총 섭취 칼로리, 탄/단/지 비율을 제공해야 한다.	높음
AI	F14	AI 식단 피드백 기능	AI가 사용자의 식단을 분석하여 부족하거나 과다한 영양 요소에 대한 피드백을 제공해야 한다.	높음
AI	F15	AI 운동 추천 기능	사용자의 체형, 운동 경험, 운동 목적 등을 기반으로 운동 루틴을 추천해야 한다.	높음
AI	F20	추천 결과 시각화 기능	사용자의 영양 비율, 권장 칼로리, 운동 통계 등을 그래프 형태로 시각화해야 한다.	중간
AI	F21	AI 질문 응답 기능	사용자는 식단, 운동, 영양 정보에 대해 AI에게 질문하고 답변을 받을 수 있어야 한다.	중간
커뮤니티	F22	커뮤니티 게시글 기능	사용자는 운동 루틴, 식단, 운동 기록 등을 게시글 형태로 공유할 수 있어야 한다.	중간
커뮤니티	F23	게시글 검색 및 필터 기능	사용자는 커뮤니티 게시글을 제목, 내용, 작성자, 카테고리 기준으로 검색하거나 필터링할 수 있어야 한다.	낮음
커뮤니티	F24	댓글 기능	게시글에 댓글을 작성, 수정, 삭제할 수 있어야 한다.	중간
커뮤니티	F25	좋아요 기능	사용자는 게시글에 좋아요를 누르거나 취소할 수 있어야 한다.	중간
